firstName,lastName,birthCountry
Jack,Glover,USA
Miles,Gendron,USA
Connor,Chatham,USA
Alex,Schoenborn,USA
Brett,Lernout,CAN
Brycen,Martin,CAN
Alexander,Peters,CAN
Elvis,Merzlikins,LAT
Blake,Siebenaler,USA
Ilya,Sorokin,RUS
Brayden,Point,CAN
Louie,Belpedio,USA
Dylan,Sadowy,CAN
Jake,Walman,CAN
Matheson,Iacopelli,USA
Kyle,Wood,CAN
Keegan,Iverson,USA
Mark,Friedman,CAN
Anton,Karlsson,SWE
Beau,Starrett,USA
Michael,Amadio,CAN
William,Lagesson,SWE
Joe,Wegwerth,USA
Nick,Magyar,USA
Ville,Husso,FIN
Linus,Soderstrom,SWE
Josh,Wesley,USA
Lucas,Wallmark,SWE
Fredrik,Olofsson,SWE
Chase,De Leo,USA
Shane,Eiserman,USA
Nelson,Nogier,CAN
Alexis,Vanier,CAN
John,Piccinich,USA
Ryan,Mantha,USA
Michael,Prapavessis,CAN
Christoffer,Ehn,SWE
Julien,Pelletier,CAN
Devon,Toews,CAN
Kaapo,Kahkonen,FIN
Austin,Poganski,USA
Zachary,Nagelvoort,USA
Viktor,Arvidsson,SWE
Sam,Lafferty,USA
Alexis,Pepin,CAN
Brent,Moran,CAN
Danton,Heinen,CAN
Michael,Bunting,CAN
Igor,Shesterkin,RUS
Ben,Thomas,CAN
Steven,Johnson,USA
Max,Willman,USA
Matthew,Berkovitz,USA
Jaedon,Descheneau,CAN
Nikolas,Koberstein,CAN
Gustav,Forsling,SWE
Clark,Bishop,CAN
Dakota,Joshua,USA
CJ,Suess,USA
Liam,Coughlin,USA
Ryan,Rehill,CAN
Joonas,Lyytinen,FIN
Dysin,Mayo,CAN
Shane,Gersich,USA
Miro,Karjalainen,FIN
Chase,Perry,USA
Tyler,Bird,USA
Oskar,Lindblom,SWE
Tanner,Faith,CAN
Daniel,Walcott,CAN
Luc,Snuggerud,USA
Tyler,Nanne,USA
Miguel,Fidler,USA
Anton,Lindholm,SWE
Anthony,Angello,USA
Anders,Bjork,USA
Daniel,Audette,USA
Andreas,Soderberg,SWE
Rourke,Chartier,CAN
Alec,Dillon,CAN
Christopher,Brown,USA
Joey,Dudek,USA
Tyler,Vesel,USA
Aaron,Haydon,USA
Kyle,Schempp,USA
Kyle,Pettit,CAN
Jake,Marchment,CAN
Nolan,Vesey,USA
Steven,Spinner,USA
Pontus,Sjalin,SWE
Aaron,Irving,CAN
David,Westlund,SWE
Pavel,Kraskovsky,RUS
John,Nyberg,SWE
Julius,Vahatalo,FIN
Chase,Lang,CAN
Radel,Fazleev,RUS
Reid,Duke,CAN
Cristiano,Digiacinto,CAN
Kevin,Labanc,USA
C.J.,Yakimowicz,USA
Jaden,Lindo,CAN
Maximilian,Pajpach,SVK
Adam,Ollas Mattsson,SWE
Sammy,Blais,CAN
Hayden,Hawkey,USA
Dylan,Sikura,CAN
Ivan,Nalimov,RUS
Matthew,Mistele,CAN
Victor,Olofsson,SWE
Hugo,Fagerblom,SWE
Keven,Bouchard,CAN
Cameron,Darcy,USA
MacKenze,Stewart,CAN
Kyle,Jenkins,CAN
Pierre,Engvall,SWE
Kelly,Summers,CAN
Francis,Perron,CAN
Jared,Fiegl,USA
Matt,Ustaski,USA
Edgars,Kulda,LAT
Kevin,Elgestal,SWE
Patrick,Sanvido,CAN
Axel,Holmstrom,SWE
Olivier,Leblanc,CAN
Jesper,Pettersson,SWE
Pavel,Jenys,CZE
Alexander,Kadeykin,RUS
Dwyer,Tschantz,USA
Jeff,Taylor,USA
Julien,Nantel,CAN
Ondrej,Kase,CZE
Emil,Johansson,SWE
Jake,Evans,CAN
Jack,Ramsey,USA
Spencer,Watson,CAN
Jake,Middleton,CAN
Jiri,Sekac,CZE
Guillaume,Gelinas,CAN
Matt,Hatch,USA
Colton,Bobyk,CAN
Dylan,Corson,CAN
Marc-Olivier,Crevier-Morin,CAN
Philippe,Gadoury,CAN
Alexandre,Goulet,CAN
Matthew,Highmore,CAN
Bokondji,Imama,CAN
Jordan,Papirny,CAN
Alexandre,Ranger,CAN
Matt,Schmalz,CAN
Evan,Wardley,CAN
Lukas,Zejdl,CZE
Kevin,Ryan,USA
Wade,Epp,CAN
Cole,Wilson,CAN
Ben,Woodley,CAN
Cody,Donaghey,CAN
Jeremie,Fraser,CAN
Pavel,Padakin,UKR
Taran,Kozun,CAN
Eliot,Antonietti,SUI
Rasmus,Rinne,FIN
Cole,Martin,USA
Collin,Shirley,CAN
Jonathon,Martin,CAN
Josh,Thrower,CAN
Jackson,Whistle,CAN
Cordell,James,CAN
Shane,Berschbach,USA
Anthony,Difruscia,CAN
Blake,Clarke,USA
Hayden,Hodgson,CAN
Darby,Llewellyn,USA
Brandon,Robinson,CAN
Joe,Hicketts,CAN
Connor,McGlynn,USA
Darren,Raddysh,CAN
Brendan,Bell,CAN
Jason,Fram,CAN
Zach,Bratina,CAN
Devin,Williams,USA
Parker,Bowles,CAN
Reid,Gardiner,CAN
Tyson,Baillie,CAN
Colten,Hayes,CAN
Scott,Czarnowczan,USA
Steven,Trojanovic,CAN
Michael,Joly,CAN
Waltteri,Hopponen,FIN
Justin,Gutierrez,USA
Evan,Polei,CAN
Adam,Helewka,CAN
Danny,Moynihan,USA
Kevin,Sullivan,USA
Spencer,Asuchak,CAN
Dmitrii,Sergeev,RUS
Kevin,Hart,USA
Dalton,Yorke,CAN
Lucas,Peressini,CAN
Dawson,Leedahl,CAN
Oliver,Cooper,CAN
Louick,Marcotte,CAN
C.J.,Ludwig,USA
Hunter,Warner,USA
Patrick,McEachen,CAN
Dryden,Hunt,CAN
Kodie,Curran,CAN
Matt,Revel,CAN
Adam,Phillips,USA
Beau,Rusk,CAN
Guillaume,Beaudoin,CAN
Ryan,Graham,CAN
Mads,Eller,DEN
Jared,Walsh,CAN
Dallas,Valentine,CAN
Bryan,Moore,USA
Luke,Philp,CAN
Duncan,MacIntyre,USA
Holden,Cook,CAN
Brett,Findlay,CAN
Patrick,Watling,CAN
Mike,Dipaolo,CAN
Charles,Graaskamp,USA
Wyatt,Johnson,CAN
Andrew,Mangiapane,CAN
Jackson,Playfair,CAN
Matthew,Mancina,CAN
Ralfs,Freibergs,LAT
Connor,Graham,CAN
Stefan,Leblanc,CAN
Patrick,McGrath,USA
Mark,Zengerle,USA
David,Makowski,USA
Tyler,Hill,CAN
Stefano,Momesso,CAN
Sahir,Gill,CAN
Nikita,Jevpalovs,LAT
Vladimir,Tkachev,RUS
Mitch,Jones,USA
Matthieu,Bellerive,CAN
Carl,Neill,CAN
Jacob,Busch,CAN
Brandon,Magee,CAN
Chris,Baltisberger,SUI
Michael,Quinn,CAN
Andrew,Blazek,USA
Stephane,Vigier,CAN
Clarke,Saunders,CAN
Alexander,Krushelnyski,USA
Keevin,Cutting,CAN
Jack,Rodewald,CAN
Ryan,MacKinnon,CAN
Marcus,Power,CAN
Braden,Christoffer,CAN
Charles-David,Beaudoin,CAN
Jordan,Rowley,CAN
Jon,Puskar,USA
Derek,Deblois,USA
Jake,Parenteau,USA
Steven,Shamanski,CAN
Brendan,Rempel,USA
Sam,Marotta,USA
Jared,Levine,USA
Ryan,Lowe,USA
John,Griggs,USA
Chad,Nehring,CAN
Brad,Richard,USA
Greger,Hanson,SWE
Benjamin,Lindemulder,CAN
Benjamin,Dieude-Fauvel,FRA
Shane,Bakker,CAN
Matt,Di Girolamo,USA
Paul,Cianfrini,CAN
Travis,Fullerton,CAN
Dave,Desander,USA
Adam,Hughesman,CAN
Eric,Faille,CAN
Doug,Pippy,CAN
Tom,Mele,USA
Knick,Dawe,CAN
Jackson,Winkler,USA
Joe,Perry,CAN
Greg,Wolfe,USA
Reggie,Traccitto,CAN
Tim,Boron,CAN
Danick,Martel,CAN
Frank,Vatrano,USA
Cole,Bardreau,USA
Rocco,Carzo,USA
Anthony,Peters,CAN
Clay,Witt,USA
Matt,Lorito,CAN
Derek,Docken,USA
Nikita,Soshnikov,RUS
Kenney,Morrison,CAN
Colin,Stevens,USA
Casey,Bailey,USA
Rasmus,Tirronen,FIN
Brandon,McNally,USA
Eric,Neiley,USA
Daniel,Ciampini,CAN
Oleg,Yevenko,BLR
Max,Novak,USA
Eric,Robinson,USA
Curtis,Leonard,CAN
Rick,Pinkston,USA
Tyler,Sikura,CAN
Steve,Weinstein,USA
Matthew,Zay,USA
Grayson,Downing,CAN
Joel,Rumpel,CAN
Kyle,Baun,CAN
Ryan,Gropp,CAN
Ryan,Pilon,CAN
Noah,Hanifin,USA
Rasmus,Andersson,SWE
Kyle,Connor,USA
Jonas,Siegenthaler,SUI
Colin,White,USA
Pavel,Zacha,CZE
Connor,McDavid,CAN
Jack,Eichel,USA
Jeremy,Bracco,USA
Thomas,Schemitsch,CAN
Mackenzie,Blackwood,CAN
Vince,Dunn,CAN
Travis,Dermott,CAN
Anthony,Richard,CAN
Gabriel,Gagne,CAN
Chris,Martenet,USA
Nathan,Noel,CAN
Jordan,Greenway,USA
Timo,Meier,SUI
Jakub,Zboril,CZE
Erik,Cernak,SVK
Jakob,Forsbacka Karlsson,SWE
Robin,Kovacs,SWE
Julius,Nattinen,FIN
Mikko,Rantanen,FIN
A.J.,Greer,CAN
Kameron,Kielly,CAN
Adam,Musil,CAN
Jansen,Harkins,USA
Brendan,Guhle,CAN
Paul,Bittner,USA
Sebastian,Aho,FIN
Nicholas,Boka,USA
Brendan,Warren,USA
Oliver,Kylington,SWE
Evgeny,Svechnikov,RUS
Christian,Fischer,USA
Felix,Sandstrom,SWE
Keegan,Kolesar,CAN
Dan,Vladar,CZE
David,Kase,CZE
Filip,Ahl,SWE
Tommy,Novak,USA
Travis,Konecny,CAN
Dylan,Strome,CAN
Matthew,Spencer,CAN
Cooper,Marody,USA
Brandon,Carlo,USA
Brock,Boeser,USA
Mathew,Barzal,CAN
Glenn,Gawdin,CAN
Nick,Merkley,CAN
Chaz,Reddekopp,CAN
Roope,Hintz,FIN
Parker,Wotherspoon,CAN
Ethan,Bear,CAN
Caleb,Jones,USA
Connor,Hobbs,CAN
Noah,Juulsen,CAN
Austin,Wagner,CAN
Jesse,Gabrielle,CAN
Karch,Bachman,USA
John (Jack),Roslovic,USA
Dennis,Yan,USA
Zach,Werenski,USA
Luke,Opilka,USA
Nicolas,Roy,CAN
Anthony,Beauvillier,CAN
Jeremy,Roy,CAN
Guillaume,Brisebois,CAN
Daniel,Sprong,NED
Nicolas,Meloche,CAN
Jeremy,Lauzon,CAN
Thomas,Chabot,CAN
Sam,Montembeault,CAN
Samuel,Dove-McFalls,CAN
Mathieu,Joseph,CAN
Callum,Booth,CAN
Lawson,Crouse,CAN
Hayden,McCool,CAN
Kyle,Capobianco,CAN
Mitchell,Stephens,CAN
Nikita,Korostelev,RUS
Brett,McKenzie,CAN
Blake,Speers,CAN
Mitchell,Vande Sompel,CAN
Justin,Lemcke,CAN
Mitch,Marner,CAN
Graham,Knott,CAN
Zach,Senyshyn,CAN
Chase,Pearson,CAN
Michael,Spacek,CZE
Filip,Chlapik,CZE
Matej,Tomek,SVK
Jens,Looke,SWE
Jacob,Larsson,SWE
Ilya,Samsonov,RUS
Joel,Eriksson Ek,SWE
Alexander,Dergachyov,RUS
Denis,Gurianov,RUS
Deven,Sideroff,CAN
Erik,Foley,USA
Jake,DeBrusk,CAN
Adin,Hill,CAN
Ivan,Provorov,RUS
Gustav,Bouramman,SWE
Dennis,Gilbert,USA
Jack,Sadek,USA
David,Cotton,USA
Jesper,Lindgren,SWE
Gabriel,Carlsson,SWE
John,Marino,USA
Yakov,Trenin,RUS
Adam,Marsh,USA
Brody,Hoffman,CAN
Austin,Czarnik,USA
C.J.,Motte,USA
Brett,Cameron,CAN
Alexander,MacMillan,CAN
Tyler,Soy,CAN
Simon,Bourque,CAN
Andrew,Nielsen,CAN
Anthony,Cirelli,CAN
Colin,Markison,USA
Matt,Willows,USA
Matthew,Prapavessis,CAN
Mathew,Berry,USA
Zach,Palmquist,USA
Ryan,Demharter,CAN
Keegan,Asmundson,USA
Matt,Garbowsky,CAN
Tanner,Kero,USA
Ty,Loney,USA
Daniel,Doremus,USA
Kevin,Noble,CAN
Alexander,Wideman,USA
Nick,Huard,CAN
Christophe,Lalonde,CAN
Bryant,Molle,USA
Danny,Federico,USA
Calder,Brooks,CAN
Marvin,Cupper,GER
Markus,Hannikainen,FIN
Evan,Rodrigues,CAN
Stephane,Pattyn,CAN
Ben,Goss,CAN
Andrew,Panzarella,USA
Justin,Nichols,CAN
Steve,Mastalerz,USA
Justin,Summerfield,USA
Kristian,Nakyva,FIN
Artemi,Panarin,RUS
Sam,Warning,USA
Christian,Marti,SUI
Eetu,Laurikainen,FIN
Matthew,O'Connor,CAN
Andreas,Martinsen,NOR
Jakub,Nakladal,CZE
Evgeny,Medvedev,RUS
Joonas,Kemppainen,FIN
Matthias,Plachta,GER
Sergey,Kalinin,RUS
Dean,Kukan,SUI
Noel,Acciari,USA
Alex,Dubeau,CAN
Vojtech,Mozik,CZE
Derek,Ryan,USA
Kevin,Stenlund,SWE
Martins,Dzierkals,LAT
J.C.,Beaudin,CAN
Vili,Saarijarvi,FIN
Sergey,Zborovskiy,RUS
Brent,Gates Jr.,USA
Mike,Robinson,USA
Lukas,Vejdemo,SWE
Aleksi,Saarela,FIN
Will,Borgen,USA
Colton,White,CAN
Andrei,Mironov,RUS
Denis,Malgin,SUI
Mikhail,Vorobyev,RUS
Christian,Wolanin,CAN
Joren,Van Pottelberghe,SUI
Ales,Stezka,CZE
Brad,Morrison,CAN
Dmitry,Zhukenov,RUS
Alexandre,Carrier,CAN
Jonne,Tammela,FIN
Daniel,Bernhardt,SWE
Ryan,Shea,USA
Devante,Stephens,CAN
Conor,Garland,USA
Dmytro,Timashov,UKR
Luke,Stevens,USA
Niko,Mikkola,FIN
Sam,Ruopp,CAN
Karlis,Cukste,LAT
Matthew,Bradley,CAN
Joseph,Cecconi,USA
Kirill,Kaprizov,RUS
Pavel,Karnaukhov,BLR
Dominik,Simon,CZE
Spencer,Smallman,CAN
Christian,Jaros,SVK
Veeti,Vainio,FIN
Rudolfs,Balcers,LAT
Karel,Vejmelka,CZE
Troy,Terry,USA
Adam,Gaudette,USA
Ryan,Zuhlsdorf,USA
Radovan,Bondra,SVK
Giorgio,Estephan,CAN
Kristian,Oldham,USA
Stephen,Desrocher,CAN
Jake,Massie,CAN
Brett,Seney,CAN
Vladislav,Gavrikov,RUS
Adam,Parsells,USA
Sergei,Boikov,RUS
Christopher,Wilkie,USA
Markus,Ruusu,FIN
Roy,Radke,USA
Cameron,Hughes,CAN
Frederik,Tiffels,GER
Mason,Appleton,USA
Patrick,Holway,USA
Andong,Song,CHN
Colby,Williams,CAN
Lukas,Jasek,CZE
Tyler,Moy,USA
Liam,Dunda,USA
Steven,Ruggiero,USA
Garrett,Metcalf,USA
Joni,Tuulola,FIN
Ivan,Chukarov,USA
Erik,Kallgren,SWE
Adam,Huska,SVK
Steven,Lorentz,CAN
Ivan,Fedotov,RUS
Markus,Nutivaara,FIN
Marcus,Vela,CAN
Gustav,Olhaver,SWE
Patrick,Shea,USA
Jake,Kupsky,USA
Matt,Roy,USA
Jack,Becker,USA
Riley,Bruce,CAN
Nikita,Pavlychev,RUS
Sami,Niku,FIN
Joey,Daccord,USA
Petter,Hansson,SWE
Matteo,Gennaro,CAN
Evan,Smith,USA
Ryan,Bednard,USA
Jeremiah,Addison,CAN
Miroslav,Svoboda,CZE
Ziyat,Paigin,RUS
Tate,Olson,CAN
John,Dahlstrom,SWE
Cason,Hohmann,USA
Zack,Kamrass,USA
Sergei,Plotnikov,RUS
Angelo,Miceli,CAN
Bailey,Webster,CAN
Jamal,Watson,CAN
Markus,Eisenschmid,GER
Michael,McNiven,CAN
Tim,McGauley,CAN
Michael,Webster,CAN
Turner,Ottenbreit,CAN
Cody,Murphy,USA
Daniel,Gibb,CAN
Mario,Huber,AUT
Alexis,Loiseau,CAN
Ryan,Penny,CAN
Trevor,Cox,CAN
Keoni,Texeira,USA
Jeff,Baum,USA
Blake,Gober,USA
Brendan,O'Reilly,USA
Kole,Sherwood,USA
Damir,Sharipzyanov,RUS
Sebastien,Sylvestre,CAN
Trent,Fox,CAN
Samuel,Laberge,CAN
Jack,Flinn,CAN
Nick,McBride,CAN
Carson,Stadnyk,CAN
Noah,Bushnell,USA
Ryan,Johnston,CAN
Kenneth,Appleby,CAN
Alexandre,Alain,CAN
Lane,Pederson,CAN
Christopher,Garcia,CAN
Nick,Betz,USA
Jalen,Chatfield,USA
Connor,Ingram,CAN
Jarett,Meyer,USA
Justin,Agosta,USA
Liam,Herbst,CAN
Mason,Marchment,CAN
Julien,Proulx,CAN
Jared,Bethune,CAN
Jonathan,Walker,USA
Carter,Rigby,CAN
Chase,Witala,CAN
Cavan,Fitzgerald,USA
Chase,Stewart,CAN
Jacob,Sweeney,CAN
Andrew,Prochno,USA
Chris,Carlisle,USA
Dominic,Zombo,USA
Jerret,Smith,CAN
Connor,Schlichting,CAN
Mark,Simpson,CAN
Nick,Schneider,CAN
Adam,Brooks,CAN
Joshua,Chapman,CAN
Nikolai,Skladnichenko,RUS
Niklas,Treutle,GER
Lukas,Lofquist,SWE
